Format Version,1.23,Take Name,Werikson_IC_Gesto_B,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.21.22.268 ,Total Frames in Take,1595,Total Exported Frames,1595,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right,Gesture:Teste1,Gesture:Teste1,Gesture:Teste1
,ID,"67186D7C94E311EC6E30FC7E4D48E899","67186D7C94E311EC6E30FC7E4D48E899","67186D7C94E311EC6E30FC7E4D48E899","67186D7E94E311EC6E30FC7E4D48E899","67186D7E94E311EC6E30FC7E4D48E899","67186D7E94E311EC6E30FC7E4D48E899","67186D8094E311EC6E30FC7E4D48E899","67186D8094E311EC6E30FC7E4D48E899","67186D8094E311EC6E30FC7E4D48E899","9B37ADC794E311EC6E30FC7E4D48E899","9B37ADC794E311EC6E30FC7E4D48E899","9B37ADC794E311EC6E30FC7E4D48E899"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
156,0.650000,0.077763,1.700882,-0.116028,0.433908,0.905878,-0.181729,-0.187983,0.909221,-0.238262,,,
157,0.654167,0.077619,1.700849,-0.116039,0.434191,0.905908,-0.181827,-0.187644,0.908402,-0.237401,,,
158,0.658333,0.077165,1.700920,-0.116064,0.434461,0.905949,-0.181930,-0.188737,0.909227,-0.238286,,,
159,0.662500,0.077036,1.700888,-0.116078,0.434732,0.905978,-0.182030,-0.188517,0.908591,-0.237403,,,
160,0.666667,0.076744,1.700532,-0.116106,0.435078,0.905903,-0.182140,-0.189566,0.909452,-0.238257,,,
161,0.670833,0.076629,1.700529,-0.116102,0.435589,0.906041,-0.182197,-0.189895,0.909547,-0.238318,,,
162,0.675000,0.076581,1.700438,-0.116243,0.435978,0.906145,-0.182399,-0.189493,0.908869,-0.237617,,,
163,0.679167,0.076464,1.700418,-0.116260,0.436463,0.906425,-0.182137,-0.189814,0.908950,-0.237699,,,
164,0.683333,0.076347,1.700404,-0.116277,0.436730,0.906451,-0.182250,-0.190239,0.909132,-0.237773,,,
165,0.687500,0.076181,1.700078,-0.116321,0.437010,0.906496,-0.182351,-0.190567,0.909220,-0.237871,,,
166,0.691667,0.076066,1.700069,-0.116347,0.437296,0.906537,-0.182470,-0.190882,0.909306,-0.237932,,,
167,0.695833,0.075773,1.700262,-0.116240,0.437548,0.906863,-0.182785,-0.191270,0.909536,-0.238111,,,
168,0.700000,0.075690,1.700254,-0.116266,0.437861,0.906817,-0.183275,-0.191577,0.909617,-0.238202,,,
169,0.704167,0.075571,1.700257,-0.116309,0.438159,0.906882,-0.183388,-0.191898,0.909693,-0.238299,,,
170,0.708333,0.075489,1.700260,-0.116333,0.438477,0.906399,-0.183989,-0.192957,0.910646,-0.239338,,,
171,0.712500,0.075397,1.700334,-0.116667,0.438921,0.906763,-0.183800,-0.193387,0.910766,-0.239391,,,
172,0.716667,0.075303,1.700347,-0.116685,0.439375,0.906789,-0.183988,-0.193691,0.910863,-0.239478,,,
173,0.720833,0.075218,1.700364,-0.116721,0.439714,0.906702,-0.184097,-0.193339,0.910265,-0.239084,,,
174,0.725000,0.075144,1.700372,-0.116763,0.440001,0.906750,-0.184202,-0.194508,0.911137,-0.240087,,,
175,0.729167,0.075078,1.700387,-0.116812,0.440536,0.906991,-0.184048,-0.194054,0.910136,-0.239206,,,
176,0.733333,0.074652,1.700423,-0.116798,0.440832,0.907066,-0.184140,-0.195375,0.911112,-0.240053,,,
177,0.737500,0.074588,1.700447,-0.116845,0.441111,0.907125,-0.184249,-0.194895,0.910312,-0.239277,,,
178,0.741667,0.074530,1.700483,-0.116887,0.441365,0.907248,-0.184247,-0.195959,0.911270,-0.240237,,,
179,0.745833,0.074456,1.700511,-0.116931,0.441869,0.907405,-0.184302,-0.195502,0.910478,-0.239476,,,
